24.06.2010 00:35:00;r/s;0;req;39;b/s;7988;av;0;<1s;39;1s;0;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;34;usr;171;qV;0;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.1;m;7183096
24.06.2010 00:36:00;r/s;0;req;25;b/s;16690;av;0;<1s;24;1s;1;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;34;usr;185;qV;1;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.1;m;7181748
24.06.2010 00:37:00;r/s;0;req;23;b/s;13864;av;0;<1s;22;1s;1;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;38;usr;191;qV;0;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.03;m;7181988
24.06.2010 00:38:00;r/s;0;req;17;b/s;6745;av;0;<1s;17;1s;0;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;37;usr;194;qV;0;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.01;m;7182092
24.06.2010 00:39:00;r/s;2;req;165;b/s;40590;av;0;<1s;164;1s;1;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;39;usr;191;qV;1;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0;m;7187352
24.06.2010 00:40:00;r/s;4;req;252;b/s;36242;av;0;<1s;251;1s;1;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;38;usr;184;qV;21;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0;m;7192416
24.06.2010 00:41:00;r/s;4;req;262;b/s;42303;av;0;<1s;259;1s;3;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;36;usr;182;qV;1;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.03;m;7189140
24.06.2010 00:42:00;r/s;1;req;79;b/s;16123;av;0;<1s;79;1s;0;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;36;usr;178;qV;3;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.01;m;7187592
24.06.2010 00:43:00;r/s;0;req;29;b/s;8553;av;0;<1s;28;1s;1;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;38;usr;190;qV;2;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.08;m;7179204
24.06.2010 00:44:00;r/s;2;req;137;b/s;32504;av;0;<1s;135;1s;0;2s;1;3s;1;4s;0;5s;0;>5s;0;ip;42;usr;200;qV;0;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.1;m;7167752
24.06.2010 00:45:00;r/s;1;req;88;b/s;9918;av;0;<1s;87;1s;1;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;42;usr;199;qV;1;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.04;m;7168544
24.06.2010 00:46:00;r/s;0;req;57;b/s;18467;av;0;<1s;57;1s;0;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;41;usr;195;qV;1;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.04;m;7173708
24.06.2010 00:47:00;r/s;3;req;197;b/s;23414;av;0;<1s;192;1s;3;2s;0;3s;2;4s;0;5s;0;>5s;0;ip;39;usr;188;qV;3;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.06;m;7175140
24.06.2010 00:48:00;r/s;2;req;142;b/s;24436;av;0;<1s;141;1s;0;2s;0;3s;1;4s;0;5s;0;>5s;0;ip;40;usr;191;qV;3;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.02;m;7178344
24.06.2010 00:49:00;r/s;2;req;127;b/s;15441;av;0;<1s;127;1s;0;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;44;usr;201;qV;5;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0;m;7181616
24.06.2010 00:50:00;r/s;2;req;149;b/s;25124;av;0;<1s;147;1s;1;2s;0;3s;1;4s;0;5s;0;>5s;0;ip;42;usr;208;qV;6;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.04;m;7183920
24.06.2010 00:51:00;r/s;1;req;64;b/s;9369;av;0;<1s;62;1s;0;2s;1;3s;1;4s;0;5s;0;>5s;0;ip;41;usr;214;qV;4;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.04;m;7191704
24.06.2010 00:52:00;r/s;1;req;117;b/s;12630;av;0;<1s;117;1s;0;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;40;usr;216;qV;4;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.01;m;7192116
24.06.2010 00:53:00;r/s;1;req;79;b/s;12153;av;0;<1s;79;1s;0;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;39;usr;210;qV;3;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.13;m;7188240
24.06.2010 00:54:00;r/s;2;req;158;b/s;18914;av;0;<1s;155;1s;3;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;37;usr;200;qV;6;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.11;m;7184288
24.06.2010 00:55:00;r/s;5;req;315;b/s;69879;av;0;<1s;305;1s;6;2s;3;3s;1;4s;0;5s;0;>5s;0;ip;38;usr;201;qV;8;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.1;m;7181364
24.06.2010 00:56:00;r/s;0;req;27;b/s;9992;av;0;<1s;27;1s;0;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;40;usr;205;qV;4;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.06;m;7185532
24.06.2010 00:57:00;r/s;0;req;24;b/s;14948;av;0;<1s;23;1s;1;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;44;usr;213;qV;1;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.02;m;7183360
24.06.2010 00:58:00;r/s;0;req;24;b/s;18814;av;0;<1s;24;1s;0;2s;0;3s;0;4s;0;5s;0;>5s;0;ip;42;usr;216;qV;2;qS;0;qD;0;qK;0;qT;0;qL;0;sl;0.01;m;7184008
